timeSeriesDesc,geoLevelDesc,geoLevelValueDesc,label,counts,countsPercentage,countsMales,countsPercentageMales,countsFemales,countsPercentageFemales,Province,District,Municipality,ReportType
Census 2022,Municipality,Nelson Mandela Bay,Yes,255462,71.8,,,,,Eastern Cape,Nelson Mandela Bay,Nelson Mandela Bay,DsSchoolAttendences
Census 2022,Municipality,Nelson Mandela Bay,No,100168,28.2,,,,,Eastern Cape,Nelson Mandela Bay,Nelson Mandela Bay,DsSchoolAttendences
Census 2022,Municipality,King Sabata Dalindyebo,Yes,141030,80.1,,,,,Eastern Cape,O.R. Tambo,King Sabata Dalindyebo,DsSchoolAttendences
Census 2022,Municipality,King Sabata Dalindyebo,No,35115,19.9,,,,,Eastern Cape,O.R. Tambo,King Sabata Dalindyebo,DsSchoolAttendences
Census 2022,Municipality,Mhlontlo,Yes,55642,79.6,,,,,Eastern Cape,O.R. Tambo,Mhlontlo,DsSchoolAttendences
Census 2022,Municipality,Mhlontlo,No,14260,20.4,,,,,Eastern Cape,O.R. Tambo,Mhlontlo,DsSchoolAttendences
Census 2022,Municipality,Ngquza Hill,Yes,122737,80.8,,,,,Eastern Cape,O.R. Tambo,Ngquza Hill,DsSchoolAttendences
Census 2022,Municipality,Ngquza Hill,No,29233,19.2,,,,,Eastern Cape,O.R. Tambo,Ngquza Hill,DsSchoolAttendences
Census 2022,Municipality,Nyandeni,Yes,99190,78.6,,,,,Eastern Cape,O.R. Tambo,Nyandeni,DsSchoolAttendences
Census 2022,Municipality,Nyandeni,No,26962,21.4,,,,,Eastern Cape,O.R. Tambo,Nyandeni,DsSchoolAttendences
Census 2022,Municipality,Port St Johns,Yes,59748,80.6,,,,,Eastern Cape,O.R. Tambo,Port St Johns,DsSchoolAttendences
Census 2022,Municipality,Port St Johns,No,14390,19.4,,,,,Eastern Cape,O.R. Tambo,Port St Johns,DsSchoolAttendences
Census 2022,Municipality,Blue Crane Route,Yes,10653,68.5,,,,,Eastern Cape,Sarah Baartman,Blue Crane Route,DsSchoolAttendences
Census 2022,Municipality,Blue Crane Route,No,4905,31.5,,,,,Eastern Cape,Sarah Baartman,Blue Crane Route,DsSchoolAttendences
Census 2022,Municipality,Dr Beyers Naude,Yes,22689,65.1,,,,,Eastern Cape,Sarah Baartman,Dr Beyers Naude,DsSchoolAttendences
Census 2022,Municipality,Dr Beyers Naude,No,12181,34.9,,,,,Eastern Cape,Sarah Baartman,Dr Beyers Naude,DsSchoolAttendences
Census 2022,Municipality,Kou-Kamma,Yes,8186,66.0,,,,,Eastern Cape,Sarah Baartman,Kou-Kamma,DsSchoolAttendences
Census 2022,Municipality,Kou-Kamma,No,4215,34.0,,,,,Eastern Cape,Sarah Baartman,Kou-Kamma,DsSchoolAttendences
Census 2022,Municipality,Kouga,Yes,19821,67.5,,,,,Eastern Cape,Sarah Baartman,Kouga,DsSchoolAttendences
Census 2022,Municipality,Kouga,No,9538,32.5,,,,,Eastern Cape,Sarah Baartman,Kouga,DsSchoolAttendences
Census 2022,Municipality,Makana,Yes,22021,75.3,,,,,Eastern Cape,Sarah Baartman,Makana,DsSchoolAttendences
Census 2022,Municipality,Makana,No,7213,24.7,,,,,Eastern Cape,Sarah Baartman,Makana,DsSchoolAttendences
Census 2022,Municipality,Ndlambe,Yes,17031,73.3,,,,,Eastern Cape,Sarah Baartman,Ndlambe,DsSchoolAttendences
Census 2022,Municipality,Ndlambe,No,6215,26.7,,,,,Eastern Cape,Sarah Baartman,Ndlambe,DsSchoolAttendences
Census 2022,Municipality,Sundays River Valley,Yes,10148,62.5,,,,,Eastern Cape,Sarah Baartman,Sundays River Valley,DsSchoolAttendences
Census 2022,Municipality,Sundays River Valley,No,6099,37.5,,,,,Eastern Cape,Sarah Baartman,Sundays River Valley,DsSchoolAttendences
Census 2022,Municipality,Mafube,Yes,15470,75.1,,,,,Free State,Fezile Dabi,Mafube,DsSchoolAttendences
Census 2022,Municipality,Mafube,No,5132,24.9,,,,,Free State,Fezile Dabi,Mafube,DsSchoolAttendences
Census 2022,Municipality,Metsimaholo,Yes,38730,76.3,,,,,Free State,Fezile Dabi,Metsimaholo,DsSchoolAttendences
Census 2022,Municipality,Metsimaholo,No,12061,23.7,,,,,Free State,Fezile Dabi,Metsimaholo,DsSchoolAttendences
Census 2022,Municipality,Moqhaka,Yes,37328,77.3,,,,,Free State,Fezile Dabi,Moqhaka,DsSchoolAttendences
Census 2022,Municipality,Moqhaka,No,10980,22.7,,,,,Free State,Fezile Dabi,Moqhaka,DsSchoolAttendences
Census 2022,Municipality,Ngwathe,Yes,32426,74.6,,,,,Free State,Fezile Dabi,Ngwathe,DsSchoolAttendences
Census 2022,Municipality,Ngwathe,No,11068,25.4,,,,,Free State,Fezile Dabi,Ngwathe,DsSchoolAttendences
Census 2022,Municipality,Masilonyana,Yes,16808,76.6,,,,,Free State,Lejweleputswa,Masilonyana,DsSchoolAttendences
Census 2022,Municipality,Masilonyana,No,5143,23.4,,,,,Free State,Lejweleputswa,Masilonyana,DsSchoolAttendences
Census 2022,Municipality,Matjhabeng,Yes,112067,77.2,,,,,Free State,Lejweleputswa,Matjhabeng,DsSchoolAttendences
Census 2022,Municipality,Matjhabeng,No,33154,22.8,,,,,Free State,Lejweleputswa,Matjhabeng,DsSchoolAttendences
Census 2022,Municipality,Nala,Yes,23496,74.7,,,,,Free State,Lejweleputswa,Nala,DsSchoolAttendences
Census 2022,Municipality,Nala,No,7942,25.3,,,,,Free State,Lejweleputswa,Nala,DsSchoolAttendences
Census 2022,Municipality,Tokologo,Yes,7638,72.0,,,,,Free State,Lejweleputswa,Tokologo,DsSchoolAttendences
Census 2022,Municipality,Tokologo,No,2976,28.0,,,,,Free State,Lejweleputswa,Tokologo,DsSchoolAttendences
Census 2022,Municipality,Tswelopele,Yes,15704,74.5,,,,,Free State,Lejweleputswa,Tswelopele,DsSchoolAttendences
Census 2022,Municipality,Tswelopele,No,5366,25.5,,,,,Free State,Lejweleputswa,Tswelopele,DsSchoolAttendences
Census 2022,Municipality,Mangaung,Yes,203457,77.2,,,,,Free State,Mangaung,Mangaung,DsSchoolAttendences
Census 2022,Municipality,Mangaung,No,60045,22.8,,,,,Free State,Mangaung,Mangaung,DsSchoolAttendences
Census 2022,Municipality,Dihlabeng,Yes,31000,75.2,,,,,Free State,Thabo Mofutsanyane,Dihlabeng,DsSchoolAttendences
Census 2022,Municipality,Dihlabeng,No,10218,24.8,,,,,Free State,Thabo Mofutsanyane,Dihlabeng,DsSchoolAttendences
Census 2022,Municipality,Maluti a Phofung,Yes,113419,79.4,,,,,Free State,Thabo Mofutsanyane,Maluti a Phofung,DsSchoolAttendences
Census 2022,Municipality,Maluti a Phofung,No,29367,20.6,,,,,Free State,Thabo Mofutsanyane,Maluti a Phofung,DsSchoolAttendences
Census 2022,Municipality,Mantsopa,Yes,14523,76.1,,,,,Free State,Thabo Mofutsanyane,Mantsopa,DsSchoolAttendences
Census 2022,Municipality,Mantsopa,No,4558,23.9,,,,,Free State,Thabo Mofutsanyane,Mantsopa,DsSchoolAttendences
Census 2022,Municipality,Nketoana,Yes,17055,77.2,,,,,Free State,Thabo Mofutsanyane,Nketoana,DsSchoolAttendences
Census 2022,Municipality,Nketoana,No,5026,22.8,,,,,Free State,Thabo Mofutsanyane,Nketoana,DsSchoolAttendences
Census 2022,Municipality,Phumelela,Yes,13090,74.1,,,,,Free State,Thabo Mofutsanyane,Phumelela,DsSchoolAttendences
Census 2022,Municipality,Phumelela,No,4581,25.9,,,,,Free State,Thabo Mofutsanyane,Phumelela,DsSchoolAttendences
Census 2022,Municipality,Setsoto,Yes,34689,78.0,,,,,Free State,Thabo Mofutsanyane,Setsoto,DsSchoolAttendences
Census 2022,Municipality,Setsoto,No,9760,22.0,,,,,Free State,Thabo Mofutsanyane,Setsoto,DsSchoolAttendences
Census 2022,Municipality,Kopanong,Yes,12659,73.8,,,,,Free State,Xhariep,Kopanong,DsSchoolAttendences
Census 2022,Municipality,Kopanong,No,4493,26.2,,,,,Free State,Xhariep,Kopanong,DsSchoolAttendences
Census 2022,Municipality,Letsemeng,Yes,9830,65.5,,,,,Free State,Xhariep,Letsemeng,DsSchoolAttendences
Census 2022,Municipality,Letsemeng,No,5180,34.5,,,,,Free State,Xhariep,Letsemeng,DsSchoolAttendences
Census 2022,Municipality,Mohokare,Yes,10099,80.9,,,,,Free State,Xhariep,Mohokare,DsSchoolAttendences
Census 2022,Municipality,Mohokare,No,2393,19.2,,,,,Free State,Xhariep,Mohokare,DsSchoolAttendences
Census 2022,Municipality,City of Johannesburg,Yes,871485,66.7,,,,,Gauteng,City of Johannesburg,City of Johannesburg,DsSchoolAttendences
Census 2022,Municipality,City of Johannesburg,No,434226,33.3,,,,,Gauteng,City of Johannesburg,City of Johannesburg,DsSchoolAttendences
Census 2022,Municipality,City of Tshwane,Yes,829564,72.5,,,,,Gauteng,City of Tshwane,City of Tshwane,DsSchoolAttendences
Census 2022,Municipality,City of Tshwane,No,315159,27.5,,,,,Gauteng,City of Tshwane,City of Tshwane,DsSchoolAttendences
Census 2022,Municipality,Ekurhuleni,Yes,778437,68.2,,,,,Gauteng,Ekurhuleni,Ekurhuleni,DsSchoolAttendences
