timeSeriesDesc,geoLevelDesc,geoLevelValueDesc,label,counts,countsPercentage,Province,District,Municipality,ReportType
Census 2022,Municipality,Great Kei,Communal container/central collection point,233,1.9,Eastern Cape,Amathole,Great Kei,DsRefuseDisposals
Census 2022,Municipality,Great Kei,Own refuse dump,5244,43.4,Eastern Cape,Amathole,Great Kei,DsRefuseDisposals
Census 2022,Municipality,Great Kei,No Rubbish Disposal,932,7.7,Eastern Cape,Amathole,Great Kei,DsRefuseDisposals
Census 2022,Municipality,Great Kei,Other,443,3.7,Eastern Cape,Amathole,Great Kei,DsRefuseDisposals
Census 2022,Municipality,Mbhashe,Removed by local authority at least once a week,14139,26.8,Eastern Cape,Amathole,Mbhashe,DsRefuseDisposals
Census 2022,Municipality,Mbhashe,Removed by local authority less often,88,0.2,Eastern Cape,Amathole,Mbhashe,DsRefuseDisposals
Census 2022,Municipality,Mbhashe,Communal refuse dump,564,1.1,Eastern Cape,Amathole,Mbhashe,DsRefuseDisposals
Census 2022,Municipality,Mbhashe,Communal container/central collection point,678,1.3,Eastern Cape,Amathole,Mbhashe,DsRefuseDisposals
Census 2022,Municipality,Mbhashe,Own refuse dump,29587,56.1,Eastern Cape,Amathole,Mbhashe,DsRefuseDisposals
Census 2022,Municipality,Mbhashe,No Rubbish Disposal,6847,13.0,Eastern Cape,Amathole,Mbhashe,DsRefuseDisposals
Census 2022,Municipality,Mbhashe,Other,812,1.5,Eastern Cape,Amathole,Mbhashe,DsRefuseDisposals
Census 2022,Municipality,Mnquma,Removed by local authority at least once a week,21086,32.3,Eastern Cape,Amathole,Mnquma,DsRefuseDisposals
Census 2022,Municipality,Mnquma,Removed by local authority less often,60,0.1,Eastern Cape,Amathole,Mnquma,DsRefuseDisposals
Census 2022,Municipality,Mnquma,Communal refuse dump,1104,1.7,Eastern Cape,Amathole,Mnquma,DsRefuseDisposals
Census 2022,Municipality,Mnquma,Communal container/central collection point,431,0.7,Eastern Cape,Amathole,Mnquma,DsRefuseDisposals
Census 2022,Municipality,Mnquma,Own refuse dump,33371,51.2,Eastern Cape,Amathole,Mnquma,DsRefuseDisposals
Census 2022,Municipality,Mnquma,No Rubbish Disposal,6112,9.4,Eastern Cape,Amathole,Mnquma,DsRefuseDisposals
Census 2022,Municipality,Mnquma,Other,3057,4.7,Eastern Cape,Amathole,Mnquma,DsRefuseDisposals
Census 2022,Municipality,Ngqushwa,Removed by local authority at least once a week,6024,24.2,Eastern Cape,Amathole,Ngqushwa,DsRefuseDisposals
Census 2022,Municipality,Ngqushwa,Removed by local authority less often,15,0.1,Eastern Cape,Amathole,Ngqushwa,DsRefuseDisposals
Census 2022,Municipality,Ngqushwa,Communal refuse dump,338,1.4,Eastern Cape,Amathole,Ngqushwa,DsRefuseDisposals
Census 2022,Municipality,Ngqushwa,Communal container/central collection point,433,1.7,Eastern Cape,Amathole,Ngqushwa,DsRefuseDisposals
Census 2022,Municipality,Ngqushwa,Own refuse dump,16527,66.3,Eastern Cape,Amathole,Ngqushwa,DsRefuseDisposals
Census 2022,Municipality,Ngqushwa,No Rubbish Disposal,1271,5.1,Eastern Cape,Amathole,Ngqushwa,DsRefuseDisposals
Census 2022,Municipality,Ngqushwa,Other,306,1.2,Eastern Cape,Amathole,Ngqushwa,DsRefuseDisposals
Census 2022,Municipality,Raymond Mhlaba,Removed by local authority at least once a week,25808,48.7,Eastern Cape,Amathole,Raymond Mhlaba,DsRefuseDisposals
Census 2022,Municipality,Raymond Mhlaba,Removed by local authority less often,327,0.6,Eastern Cape,Amathole,Raymond Mhlaba,DsRefuseDisposals
Census 2022,Municipality,Raymond Mhlaba,Communal refuse dump,478,0.9,Eastern Cape,Amathole,Raymond Mhlaba,DsRefuseDisposals
Census 2022,Municipality,Raymond Mhlaba,Communal container/central collection point,1164,2.2,Eastern Cape,Amathole,Raymond Mhlaba,DsRefuseDisposals
Census 2022,Municipality,Raymond Mhlaba,Own refuse dump,21600,40.7,Eastern Cape,Amathole,Raymond Mhlaba,DsRefuseDisposals
Census 2022,Municipality,Raymond Mhlaba,No Rubbish Disposal,3099,5.8,Eastern Cape,Amathole,Raymond Mhlaba,DsRefuseDisposals
Census 2022,Municipality,Raymond Mhlaba,Other,572,1.1,Eastern Cape,Amathole,Raymond Mhlaba,DsRefuseDisposals
Census 2022,Municipality,Buffalo City,Removed by local authority at least once a week,191283,71.3,Eastern Cape,Buffalo City,Buffalo City,DsRefuseDisposals
Census 2022,Municipality,Buffalo City,Removed by local authority less often,3376,1.3,Eastern Cape,Buffalo City,Buffalo City,DsRefuseDisposals
Census 2022,Municipality,Buffalo City,Communal refuse dump,2219,0.8,Eastern Cape,Buffalo City,Buffalo City,DsRefuseDisposals
Census 2022,Municipality,Buffalo City,Communal container/central collection point,10764,4.0,Eastern Cape,Buffalo City,Buffalo City,DsRefuseDisposals
Census 2022,Municipality,Buffalo City,Own refuse dump,51830,19.3,Eastern Cape,Buffalo City,Buffalo City,DsRefuseDisposals
Census 2022,Municipality,Buffalo City,No Rubbish Disposal,6692,2.5,Eastern Cape,Buffalo City,Buffalo City,DsRefuseDisposals
Census 2022,Municipality,Buffalo City,Other,2274,0.8,Eastern Cape,Buffalo City,Buffalo City,DsRefuseDisposals
Census 2022,Municipality,Emalahleni,Removed by local authority at least once a week,12853,39.2,Eastern Cape,Chris Hani,Emalahleni,DsRefuseDisposals
Census 2022,Municipality,Emalahleni,Removed by local authority less often,245,0.7,Eastern Cape,Chris Hani,Emalahleni,DsRefuseDisposals
Census 2022,Municipality,Emalahleni,Communal refuse dump,456,1.4,Eastern Cape,Chris Hani,Emalahleni,DsRefuseDisposals
Census 2022,Municipality,Emalahleni,Communal container/central collection point,113,0.3,Eastern Cape,Chris Hani,Emalahleni,DsRefuseDisposals
Census 2022,Municipality,Emalahleni,Own refuse dump,13473,41.1,Eastern Cape,Chris Hani,Emalahleni,DsRefuseDisposals
Census 2022,Municipality,Emalahleni,No Rubbish Disposal,4960,15.1,Eastern Cape,Chris Hani,Emalahleni,DsRefuseDisposals
Census 2022,Municipality,Emalahleni,Other,671,2.0,Eastern Cape,Chris Hani,Emalahleni,DsRefuseDisposals
Census 2022,Municipality,Engcobo,Removed by local authority at least once a week,6581,27.1,Eastern Cape,Chris Hani,Engcobo,DsRefuseDisposals
