timeSeriesDesc,geoLevelDesc,geoLevelValueDesc,label,counts,countsPercentage,Province,District,Municipality,ReportType
Census 2022,Municipality,Mohokare,Communal refuse dump,489,4.6,Free State,Xhariep,Mohokare,DsRefuseDisposals
Census 2022,Municipality,Mohokare,Communal container/central collection point,204,1.9,Free State,Xhariep,Mohokare,DsRefuseDisposals
Census 2022,Municipality,Mohokare,Own refuse dump,2211,21.0,Free State,Xhariep,Mohokare,DsRefuseDisposals
Census 2022,Municipality,Mohokare,No Rubbish Disposal,600,5.7,Free State,Xhariep,Mohokare,DsRefuseDisposals
Census 2022,Municipality,Mohokare,Other,55,0.5,Free State,Xhariep,Mohokare,DsRefuseDisposals
Census 2022,Municipality,City of Johannesburg,Removed by local authority at least once a week,1667547,90.5,Gauteng,City of Johannesburg,City of Johannesburg,DsRefuseDisposals
Census 2022,Municipality,City of Johannesburg,Removed by local authority less often,22850,1.2,Gauteng,City of Johannesburg,City of Johannesburg,DsRefuseDisposals
Census 2022,Municipality,City of Johannesburg,Communal refuse dump,23325,1.3,Gauteng,City of Johannesburg,City of Johannesburg,DsRefuseDisposals
Census 2022,Municipality,City of Johannesburg,Communal container/central collection point,67378,3.7,Gauteng,City of Johannesburg,City of Johannesburg,DsRefuseDisposals
Census 2022,Municipality,City of Johannesburg,Own refuse dump,29723,1.6,Gauteng,City of Johannesburg,City of Johannesburg,DsRefuseDisposals
Census 2022,Municipality,City of Johannesburg,No Rubbish Disposal,29259,1.6,Gauteng,City of Johannesburg,City of Johannesburg,DsRefuseDisposals
Census 2022,Municipality,City of Johannesburg,Other,1836,0.1,Gauteng,City of Johannesburg,City of Johannesburg,DsRefuseDisposals
Census 2022,Municipality,City of Tshwane,Removed by local authority at least once a week,1071036,81.0,Gauteng,City of Tshwane,City of Tshwane,DsRefuseDisposals
Census 2022,Municipality,City of Tshwane,Removed by local authority less often,16218,1.2,Gauteng,City of Tshwane,City of Tshwane,DsRefuseDisposals
Census 2022,Municipality,City of Tshwane,Communal refuse dump,20180,1.5,Gauteng,City of Tshwane,City of Tshwane,DsRefuseDisposals
Census 2022,Municipality,City of Tshwane,Communal container/central collection point,43968,3.3,Gauteng,City of Tshwane,City of Tshwane,DsRefuseDisposals
Census 2022,Municipality,City of Tshwane,Own refuse dump,103084,7.8,Gauteng,City of Tshwane,City of Tshwane,DsRefuseDisposals
Census 2022,Municipality,City of Tshwane,No Rubbish Disposal,63956,4.8,Gauteng,City of Tshwane,City of Tshwane,DsRefuseDisposals
Census 2022,Municipality,City of Tshwane,Other,3809,0.3,Gauteng,City of Tshwane,City of Tshwane,DsRefuseDisposals
Census 2022,Municipality,Ekurhuleni,Removed by local authority at least once a week,1259454,88.6,Gauteng,Ekurhuleni,Ekurhuleni,DsRefuseDisposals
Census 2022,Municipality,Ekurhuleni,Removed by local authority less often,17087,1.2,Gauteng,Ekurhuleni,Ekurhuleni,DsRefuseDisposals
Census 2022,Municipality,Ekurhuleni,Communal refuse dump,21617,1.5,Gauteng,Ekurhuleni,Ekurhuleni,DsRefuseDisposals
Census 2022,Municipality,Ekurhuleni,Communal container/central collection point,47481,3.3,Gauteng,Ekurhuleni,Ekurhuleni,DsRefuseDisposals
Census 2022,Municipality,Ekurhuleni,Own refuse dump,30481,2.1,Gauteng,Ekurhuleni,Ekurhuleni,DsRefuseDisposals
Census 2022,Municipality,Ekurhuleni,No Rubbish Disposal,42786,3.0,Gauteng,Ekurhuleni,Ekurhuleni,DsRefuseDisposals
Census 2022,Municipality,Ekurhuleni,Other,2097,0.1,Gauteng,Ekurhuleni,Ekurhuleni,DsRefuseDisposals
Census 2022,Municipality,Emfuleni,Removed by local authority at least once a week,151551,50.9,Gauteng,Sedibeng,Emfuleni,DsRefuseDisposals
Census 2022,Municipality,Emfuleni,Removed by local authority less often,13542,4.5,Gauteng,Sedibeng,Emfuleni,DsRefuseDisposals
Census 2022,Municipality,Emfuleni,Communal refuse dump,18963,6.4,Gauteng,Sedibeng,Emfuleni,DsRefuseDisposals
Census 2022,Municipality,Emfuleni,Communal container/central collection point,2484,0.8,Gauteng,Sedibeng,Emfuleni,DsRefuseDisposals
Census 2022,Municipality,Emfuleni,Own refuse dump,59906,20.1,Gauteng,Sedibeng,Emfuleni,DsRefuseDisposals
Census 2022,Municipality,Emfuleni,No Rubbish Disposal,49887,16.7,Gauteng,Sedibeng,Emfuleni,DsRefuseDisposals
Census 2022,Municipality,Emfuleni,Other,1578,0.5,Gauteng,Sedibeng,Emfuleni,DsRefuseDisposals
Census 2022,Municipality,Lesedi,Removed by local authority at least once a week,38904,91.3,Gauteng,Sedibeng,Lesedi,DsRefuseDisposals
Census 2022,Municipality,Lesedi,Removed by local authority less often,514,1.2,Gauteng,Sedibeng,Lesedi,DsRefuseDisposals
Census 2022,Municipality,Lesedi,Communal refuse dump,147,0.3,Gauteng,Sedibeng,Lesedi,DsRefuseDisposals
Census 2022,Municipality,Lesedi,Communal container/central collection point,846,2.0,Gauteng,Sedibeng,Lesedi,DsRefuseDisposals
Census 2022,Municipality,Lesedi,Own refuse dump,1614,3.8,Gauteng,Sedibeng,Lesedi,DsRefuseDisposals
Census 2022,Municipality,Lesedi,No Rubbish Disposal,545,1.3,Gauteng,Sedibeng,Lesedi,DsRefuseDisposals
Census 2022,Municipality,Lesedi,Other,27,0.1,Gauteng,Sedibeng,Lesedi,DsRefuseDisposals
Census 2022,Municipality,Midvaal,Removed by local authority at least once a week,31293,85.8,Gauteng,Sedibeng,Midvaal,DsRefuseDisposals
Census 2022,Municipality,Midvaal,Removed by local authority less often,520,1.4,Gauteng,Sedibeng,Midvaal,DsRefuseDisposals
Census 2022,Municipality,Midvaal,Communal refuse dump,458,1.3,Gauteng,Sedibeng,Midvaal,DsRefuseDisposals
Census 2022,Municipality,Midvaal,Communal container/central collection point,3263,8.9,Gauteng,Sedibeng,Midvaal,DsRefuseDisposals
Census 2022,Municipality,Midvaal,Own refuse dump,616,1.7,Gauteng,Sedibeng,Midvaal,DsRefuseDisposals
Census 2022,Municipality,Midvaal,No Rubbish Disposal,255,0.7,Gauteng,Sedibeng,Midvaal,DsRefuseDisposals
Census 2022,Municipality,Midvaal,Other,59,0.2,Gauteng,Sedibeng,Midvaal,DsRefuseDisposals
Census 2022,Municipality,Merafong City,Removed by local authority at least once a week,63535,81.9,Gauteng,West Rand,Merafong City,DsRefuseDisposals
Census 2022,Municipality,Merafong City,Removed by local authority less often,590,0.8,Gauteng,West Rand,Merafong City,DsRefuseDisposals
Census 2022,Municipality,Merafong City,Communal refuse dump,1243,1.6,Gauteng,West Rand,Merafong City,DsRefuseDisposals
Census 2022,Municipality,Merafong City,Communal container/central collection point,1066,1.4,Gauteng,West Rand,Merafong City,DsRefuseDisposals
Census 2022,Municipality,Merafong City,Own refuse dump,4185,5.4,Gauteng,West Rand,Merafong City,DsRefuseDisposals
Census 2022,Municipality,Merafong City,No Rubbish Disposal,6867,8.8,Gauteng,West Rand,Merafong City,DsRefuseDisposals
Census 2022,Municipality,Merafong City,Other,113,0.1,Gauteng,West Rand,Merafong City,DsRefuseDisposals
Census 2022,Municipality,Mogale City,Removed by local authority at least once a week,127831,84.8,Gauteng,West Rand,Mogale City,DsRefuseDisposals
Census 2022,Municipality,Mogale City,Removed by local authority less often,1473,1.0,Gauteng,West Rand,Mogale City,DsRefuseDisposals
Census 2022,Municipality,Mogale City,Communal refuse dump,1921,1.3,Gauteng,West Rand,Mogale City,DsRefuseDisposals
Census 2022,Municipality,Mogale City,Communal container/central collection point,6656,4.4,Gauteng,West Rand,Mogale City,DsRefuseDisposals
Census 2022,Municipality,Mogale City,Own refuse dump,8678,5.8,Gauteng,West Rand,Mogale City,DsRefuseDisposals
Census 2022,Municipality,Mogale City,No Rubbish Disposal,3806,2.5,Gauteng,West Rand,Mogale City,DsRefuseDisposals
Census 2022,Municipality,Mogale City,Other,421,0.3,Gauteng,West Rand,Mogale City,DsRefuseDisposals
Census 2022,Municipality,Rand West City,Removed by local authority at least once a week,109198,85.2,Gauteng,West Rand,Rand West City,DsRefuseDisposals
Census 2022,Municipality,Rand West City,Removed by local authority less often,1585,1.2,Gauteng,West Rand,Rand West City,DsRefuseDisposals
Census 2022,Municipality,Rand West City,Communal refuse dump,2933,2.3,Gauteng,West Rand,Rand West City,DsRefuseDisposals
Census 2022,Municipality,Rand West City,Communal container/central collection point,3744,2.9,Gauteng,West Rand,Rand West City,DsRefuseDisposals
Census 2022,Municipality,Rand West City,Own refuse dump,7489,5.8,Gauteng,West Rand,Rand West City,DsRefuseDisposals
Census 2022,Municipality,Rand West City,No Rubbish Disposal,3019,2.4,Gauteng,West Rand,Rand West City,DsRefuseDisposals
Census 2022,Municipality,Rand West City,Other,176,0.1,Gauteng,West Rand,Rand West City,DsRefuseDisposals
Census 2022,Municipality,Dannhauser,Removed by local authority at least once a week,5581,21.9,KwaZulu-Natal,Amajuba,Dannhauser,DsRefuseDisposals
Census 2022,Municipality,Dannhauser,Removed by local authority less often,240,0.9,KwaZulu-Natal,Amajuba,Dannhauser,DsRefuseDisposals
Census 2022,Municipality,Dannhauser,Communal refuse dump,299,1.2,KwaZulu-Natal,Amajuba,Dannhauser,DsRefuseDisposals
Census 2022,Municipality,Dannhauser,Communal container/central collection point,39,0.2,KwaZulu-Natal,Amajuba,Dannhauser,DsRefuseDisposals
Census 2022,Municipality,Dannhauser,Own refuse dump,17966,70.5,KwaZulu-Natal,Amajuba,Dannhauser,DsRefuseDisposals
Census 2022,Municipality,Dannhauser,No Rubbish Disposal,1054,4.1,KwaZulu-Natal,Amajuba,Dannhauser,DsRefuseDisposals
Census 2022,Municipality,Dannhauser,Other,300,1.2,KwaZulu-Natal,Amajuba,Dannhauser,DsRefuseDisposals
Census 2022,Municipality,Emadlangeni,Removed by local authority at least once a week,3090,38.6,KwaZulu-Natal,Amajuba,Emadlangeni,DsRefuseDisposals
Census 2022,Municipality,Emadlangeni,Removed by local authority less often,40,0.5,KwaZulu-Natal,Amajuba,Emadlangeni,DsRefuseDisposals
Census 2022,Municipality,Emadlangeni,Communal refuse dump,93,1.2,KwaZulu-Natal,Amajuba,Emadlangeni,DsRefuseDisposals
Census 2022,Municipality,Emadlangeni,Communal container/central collection point,146,1.8,KwaZulu-Natal,Amajuba,Emadlangeni,DsRefuseDisposals
Census 2022,Municipality,Emadlangeni,Own refuse dump,3873,48.4,KwaZulu-Natal,Amajuba,Emadlangeni,DsRefuseDisposals
Census 2022,Municipality,Emadlangeni,No Rubbish Disposal,444,5.5,KwaZulu-Natal,Amajuba,Emadlangeni,DsRefuseDisposals
Census 2022,Municipality,Emadlangeni,Other,312,3.9,KwaZulu-Natal,Amajuba,Emadlangeni,DsRefuseDisposals
Census 2022,Municipality,Newcastle,Removed by local authority at least once a week,85515,73.2,KwaZulu-Natal,Amajuba,Newcastle,DsRefuseDisposals
Census 2022,Municipality,Newcastle,Removed by local authority less often,1295,1.1,KwaZulu-Natal,Amajuba,Newcastle,DsRefuseDisposals
Census 2022,Municipality,Newcastle,Communal refuse dump,1325,1.1,KwaZulu-Natal,Amajuba,Newcastle,DsRefuseDisposals
Census 2022,Municipality,Newcastle,Communal container/central collection point,1600,1.4,KwaZulu-Natal,Amajuba,Newcastle,DsRefuseDisposals
Census 2022,Municipality,Newcastle,Own refuse dump,23176,19.8,KwaZulu-Natal,Amajuba,Newcastle,DsRefuseDisposals
Census 2022,Municipality,Newcastle,No Rubbish Disposal,3460,3.0,KwaZulu-Natal,Amajuba,Newcastle,DsRefuseDisposals
Census 2022,Municipality,Newcastle,Other,392,0.3,KwaZulu-Natal,Amajuba,Newcastle,DsRefuseDisposals
Census 2022,Municipality,eThekwini,Removed by local authority at least once a week,906274,80.7,KwaZulu-Natal,eThekwini,eThekwini,DsRefuseDisposals
Census 2022,Municipality,eThekwini,Removed by local authority less often,18890,1.7,KwaZulu-Natal,eThekwini,eThekwini,DsRefuseDisposals
Census 2022,Municipality,eThekwini,Communal refuse dump,15332,1.4,KwaZulu-Natal,eThekwini,eThekwini,DsRefuseDisposals
Census 2022,Municipality,eThekwini,Communal container/central collection point,57942,5.2,KwaZulu-Natal,eThekwini,eThekwini,DsRefuseDisposals
Census 2022,Municipality,eThekwini,Own refuse dump,96951,8.6,KwaZulu-Natal,eThekwini,eThekwini,DsRefuseDisposals
Census 2022,Municipality,eThekwini,No Rubbish Disposal,21908,2.0,KwaZulu-Natal,eThekwini,eThekwini,DsRefuseDisposals
Census 2022,Municipality,eThekwini,Other,5442,0.5,KwaZulu-Natal,eThekwini,eThekwini,DsRefuseDisposals
Census 2022,Municipality,Dr Nkosazana Dlamini Zuma,Removed by local authority at least once a week,5886,23.1,KwaZulu-Natal,Harry Gwala,Dr Nkosazana Dlamini Zuma,DsRefuseDisposals
Census 2022,Municipality,Dr Nkosazana Dlamini Zuma,Removed by local authority less often,279,1.1,KwaZulu-Natal,Harry Gwala,Dr Nkosazana Dlamini Zuma,DsRefuseDisposals
Census 2022,Municipality,Dr Nkosazana Dlamini Zuma,Communal refuse dump,549,2.2,KwaZulu-Natal,Harry Gwala,Dr Nkosazana Dlamini Zuma,DsRefuseDisposals
Census 2022,Municipality,Dr Nkosazana Dlamini Zuma,Communal container/central collection point,1068,4.2,KwaZulu-Natal,Harry Gwala,Dr Nkosazana Dlamini Zuma,DsRefuseDisposals
Census 2022,Municipality,Dr Nkosazana Dlamini Zuma,Own refuse dump,15926,62.4,KwaZulu-Natal,Harry Gwala,Dr Nkosazana Dlamini Zuma,DsRefuseDisposals
Census 2022,Municipality,Dr Nkosazana Dlamini Zuma,No Rubbish Disposal,352,1.4,KwaZulu-Natal,Harry Gwala,Dr Nkosazana Dlamini Zuma,DsRefuseDisposals
Census 2022,Municipality,Dr Nkosazana Dlamini Zuma,Other,1465,5.7,KwaZulu-Natal,Harry Gwala,Dr Nkosazana Dlamini Zuma,DsRefuseDisposals
Census 2022,Municipality,Greater Kokstad,Removed by local authority at least once a week,17632,77.6,KwaZulu-Natal,Harry Gwala,Greater Kokstad,DsRefuseDisposals
Census 2022,Municipality,Greater Kokstad,Removed by local authority less often,557,2.5,KwaZulu-Natal,Harry Gwala,Greater Kokstad,DsRefuseDisposals
Census 2022,Municipality,Greater Kokstad,Communal refuse dump,435,1.9,KwaZulu-Natal,Harry Gwala,Greater Kokstad,DsRefuseDisposals
Census 2022,Municipality,Greater Kokstad,Communal container/central collection point,834,3.7,KwaZulu-Natal,Harry Gwala,Greater Kokstad,DsRefuseDisposals
Census 2022,Municipality,Greater Kokstad,Own refuse dump,2422,10.7,KwaZulu-Natal,Harry Gwala,Greater Kokstad,DsRefuseDisposals
Census 2022,Municipality,Greater Kokstad,No Rubbish Disposal,424,1.9,KwaZulu-Natal,Harry Gwala,Greater Kokstad,DsRefuseDisposals
Census 2022,Municipality,Greater Kokstad,Other,432,1.9,KwaZulu-Natal,Harry Gwala,Greater Kokstad,DsRefuseDisposals
Census 2022,Municipality,Ubuhlebezwe,Removed by local authority at least once a week,5739,21.5,KwaZulu-Natal,Harry Gwala,Ubuhlebezwe,DsRefuseDisposals
Census 2022,Municipality,Ubuhlebezwe,Removed by local authority less often,47,0.2,KwaZulu-Natal,Harry Gwala,Ubuhlebezwe,DsRefuseDisposals
Census 2022,Municipality,Ubuhlebezwe,Communal refuse dump,1052,3.9,KwaZulu-Natal,Harry Gwala,Ubuhlebezwe,DsRefuseDisposals
Census 2022,Municipality,Ubuhlebezwe,Communal container/central collection point,316,1.2,KwaZulu-Natal,Harry Gwala,Ubuhlebezwe,DsRefuseDisposals
Census 2022,Municipality,Ubuhlebezwe,Own refuse dump,17378,65.0,KwaZulu-Natal,Harry Gwala,Ubuhlebezwe,DsRefuseDisposals
Census 2022,Municipality,Ubuhlebezwe,No Rubbish Disposal,1901,7.1,KwaZulu-Natal,Harry Gwala,Ubuhlebezwe,DsRefuseDisposals
Census 2022,Municipality,Ubuhlebezwe,Other,308,1.2,KwaZulu-Natal,Harry Gwala,Ubuhlebezwe,DsRefuseDisposals
Census 2022,Municipality,Umzimkhulu,Removed by local authority at least once a week,9210,23.0,KwaZulu-Natal,Harry Gwala,Umzimkhulu,DsRefuseDisposals
Census 2022,Municipality,Umzimkhulu,Removed by local authority less often,101,0.3,KwaZulu-Natal,Harry Gwala,Umzimkhulu,DsRefuseDisposals
Census 2022,Municipality,Umzimkhulu,Communal refuse dump,614,1.5,KwaZulu-Natal,Harry Gwala,Umzimkhulu,DsRefuseDisposals
Census 2022,Municipality,Umzimkhulu,Communal container/central collection point,1205,3.0,KwaZulu-Natal,Harry Gwala,Umzimkhulu,DsRefuseDisposals
Census 2022,Municipality,Umzimkhulu,Own refuse dump,23972,59.8,KwaZulu-Natal,Harry Gwala,Umzimkhulu,DsRefuseDisposals
Census 2022,Municipality,Umzimkhulu,No Rubbish Disposal,3344,8.3,KwaZulu-Natal,Harry Gwala,Umzimkhulu,DsRefuseDisposals
Census 2022,Municipality,Umzimkhulu,Other,1618,4.0,KwaZulu-Natal,Harry Gwala,Umzimkhulu,DsRefuseDisposals
Census 2022,Municipality,KwaDukuza,Removed by local authority at least once a week,70198,72.8,KwaZulu-Natal,iLembe,KwaDukuza,DsRefuseDisposals
Census 2022,Municipality,KwaDukuza,Removed by local authority less often,1917,2.0,KwaZulu-Natal,iLembe,KwaDukuza,DsRefuseDisposals
Census 2022,Municipality,KwaDukuza,Communal refuse dump,3047,3.2,KwaZulu-Natal,iLembe,KwaDukuza,DsRefuseDisposals
Census 2022,Municipality,KwaDukuza,Communal container/central collection point,1680,1.7,KwaZulu-Natal,iLembe,KwaDukuza,DsRefuseDisposals
Census 2022,Municipality,KwaDukuza,Own refuse dump,15729,16.3,KwaZulu-Natal,iLembe,KwaDukuza,DsRefuseDisposals
Census 2022,Municipality,KwaDukuza,No Rubbish Disposal,3528,3.7,KwaZulu-Natal,iLembe,KwaDukuza,DsRefuseDisposals
Census 2022,Municipality,KwaDukuza,Other,270,0.3,KwaZulu-Natal,iLembe,KwaDukuza,DsRefuseDisposals
Census 2022,Municipality,Mandeni,Removed by local authority at least once a week,16543,40.9,KwaZulu-Natal,iLembe,Mandeni,DsRefuseDisposals
Census 2022,Municipality,Mandeni,Removed by local authority less often,337,0.8,KwaZulu-Natal,iLembe,Mandeni,DsRefuseDisposals
Census 2022,Municipality,Mandeni,Communal refuse dump,1004,2.5,KwaZulu-Natal,iLembe,Mandeni,DsRefuseDisposals
Census 2022,Municipality,Mandeni,Communal container/central collection point,2240,5.5,KwaZulu-Natal,iLembe,Mandeni,DsRefuseDisposals
Census 2022,Municipality,Mandeni,Own refuse dump,18574,45.9,KwaZulu-Natal,iLembe,Mandeni,DsRefuseDisposals
Census 2022,Municipality,Mandeni,No Rubbish Disposal,1647,4.1,KwaZulu-Natal,iLembe,Mandeni,DsRefuseDisposals
Census 2022,Municipality,Mandeni,Other,90,0.2,KwaZulu-Natal,iLembe,Mandeni,DsRefuseDisposals
Census 2022,Municipality,Maphumulo,Removed by local authority at least once a week,3066,15.0,KwaZulu-Natal,iLembe,Maphumulo,DsRefuseDisposals
Census 2022,Municipality,Maphumulo,Removed by local authority less often,16,0.1,KwaZulu-Natal,iLembe,Maphumulo,DsRefuseDisposals
Census 2022,Municipality,Maphumulo,Communal refuse dump,270,1.3,KwaZulu-Natal,iLembe,Maphumulo,DsRefuseDisposals
Census 2022,Municipality,Maphumulo,Communal container/central collection point,86,0.4,KwaZulu-Natal,iLembe,Maphumulo,DsRefuseDisposals
Census 2022,Municipality,Maphumulo,Own refuse dump,15034,73.7,KwaZulu-Natal,iLembe,Maphumulo,DsRefuseDisposals
Census 2022,Municipality,Maphumulo,No Rubbish Disposal,1551,7.6,KwaZulu-Natal,iLembe,Maphumulo,DsRefuseDisposals
Census 2022,Municipality,Maphumulo,Other,375,1.8,KwaZulu-Natal,iLembe,Maphumulo,DsRefuseDisposals
Census 2022,Municipality,Ndwedwe,Removed by local authority at least once a week,5152,17.2,KwaZulu-Natal,iLembe,Ndwedwe,DsRefuseDisposals
Census 2022,Municipality,Ndwedwe,Removed by local authority less often,31,0.1,KwaZulu-Natal,iLembe,Ndwedwe,DsRefuseDisposals
Census 2022,Municipality,Ndwedwe,Communal refuse dump,523,1.7,KwaZulu-Natal,iLembe,Ndwedwe,DsRefuseDisposals
Census 2022,Municipality,Ndwedwe,Communal container/central collection point,124,0.4,KwaZulu-Natal,iLembe,Ndwedwe,DsRefuseDisposals
Census 2022,Municipality,Ndwedwe,Own refuse dump,20171,67.3,KwaZulu-Natal,iLembe,Ndwedwe,DsRefuseDisposals
Census 2022,Municipality,Ndwedwe,No Rubbish Disposal,3233,10.8,KwaZulu-Natal,iLembe,Ndwedwe,DsRefuseDisposals
Census 2022,Municipality,Ndwedwe,Other,747,2.5,KwaZulu-Natal,iLembe,Ndwedwe,DsRefuseDisposals
Census 2022,Municipality,Mfolozi,Removed by local authority at least once a week,6004,21.1,KwaZulu-Natal,King Cetshwayo,Mfolozi,DsRefuseDisposals
Census 2022,Municipality,Mfolozi,Removed by local authority less often,56,0.2,KwaZulu-Natal,King Cetshwayo,Mfolozi,DsRefuseDisposals
Census 2022,Municipality,Mfolozi,Communal refuse dump,633,2.2,KwaZulu-Natal,King Cetshwayo,Mfolozi,DsRefuseDisposals
Census 2022,Municipality,Mfolozi,Communal container/central collection point,471,1.7,KwaZulu-Natal,King Cetshwayo,Mfolozi,DsRefuseDisposals
Census 2022,Municipality,Mfolozi,Own refuse dump,20069,70.4,KwaZulu-Natal,King Cetshwayo,Mfolozi,DsRefuseDisposals
Census 2022,Municipality,Mfolozi,No Rubbish Disposal,768,2.7,KwaZulu-Natal,King Cetshwayo,Mfolozi,DsRefuseDisposals
Census 2022,Municipality,Mfolozi,Other,516,1.8,KwaZulu-Natal,King Cetshwayo,Mfolozi,DsRefuseDisposals
Census 2022,Municipality,Mthonjaneni,Removed by local authority at least once a week,4986,32.4,KwaZulu-Natal,King Cetshwayo,Mthonjaneni,DsRefuseDisposals
Census 2022,Municipality,Mthonjaneni,Removed by local authority less often,290,1.9,KwaZulu-Natal,King Cetshwayo,Mthonjaneni,DsRefuseDisposals
Census 2022,Municipality,Mthonjaneni,Communal refuse dump,404,2.6,KwaZulu-Natal,King Cetshwayo,Mthonjaneni,DsRefuseDisposals
Census 2022,Municipality,Mthonjaneni,Communal container/central collection point,137,0.9,KwaZulu-Natal,King Cetshwayo,Mthonjaneni,DsRefuseDisposals
Census 2022,Municipality,Mthonjaneni,Own refuse dump,7807,50.7,KwaZulu-Natal,King Cetshwayo,Mthonjaneni,DsRefuseDisposals
Census 2022,Municipality,Mthonjaneni,No Rubbish Disposal,1387,9.0,KwaZulu-Natal,King Cetshwayo,Mthonjaneni,DsRefuseDisposals
Census 2022,Municipality,Mthonjaneni,Other,397,2.6,KwaZulu-Natal,King Cetshwayo,Mthonjaneni,DsRefuseDisposals
Census 2022,Municipality,Nkandla,Removed by local authority at least once a week,2633,16.2,KwaZulu-Natal,King Cetshwayo,Nkandla,DsRefuseDisposals
Census 2022,Municipality,Nkandla,Removed by local authority less often,9,0.1,KwaZulu-Natal,King Cetshwayo,Nkandla,DsRefuseDisposals
Census 2022,Municipality,Nkandla,Communal refuse dump,284,1.7,KwaZulu-Natal,King Cetshwayo,Nkandla,DsRefuseDisposals
Census 2022,Municipality,Nkandla,Communal container/central collection point,33,0.2,KwaZulu-Natal,King Cetshwayo,Nkandla,DsRefuseDisposals
Census 2022,Municipality,Nkandla,Own refuse dump,10783,66.3,KwaZulu-Natal,King Cetshwayo,Nkandla,DsRefuseDisposals
Census 2022,Municipality,Nkandla,No Rubbish Disposal,2438,15.0,KwaZulu-Natal,King Cetshwayo,Nkandla,DsRefuseDisposals
Census 2022,Municipality,Nkandla,Other,73,0.4,KwaZulu-Natal,King Cetshwayo,Nkandla,DsRefuseDisposals
Census 2022,Municipality,uMhlathuze,Removed by local authority at least once a week,55513,55.3,KwaZulu-Natal,King Cetshwayo,uMhlathuze,DsRefuseDisposals
Census 2022,Municipality,uMhlathuze,Removed by local authority less often,1772,1.8,KwaZulu-Natal,King Cetshwayo,uMhlathuze,DsRefuseDisposals
Census 2022,Municipality,uMhlathuze,Communal refuse dump,4056,4.0,KwaZulu-Natal,King Cetshwayo,uMhlathuze,DsRefuseDisposals
Census 2022,Municipality,uMhlathuze,Communal container/central collection point,6765,6.7,KwaZulu-Natal,King Cetshwayo,uMhlathuze,DsRefuseDisposals
Census 2022,Municipality,uMhlathuze,Own refuse dump,29215,29.1,KwaZulu-Natal,King Cetshwayo,uMhlathuze,DsRefuseDisposals
Census 2022,Municipality,uMhlathuze,No Rubbish Disposal,2505,2.5,KwaZulu-Natal,King Cetshwayo,uMhlathuze,DsRefuseDisposals
Census 2022,Municipality,uMhlathuze,Other,615,0.6,KwaZulu-Natal,King Cetshwayo,uMhlathuze,DsRefuseDisposals
Census 2022,Municipality,uMlalazi,Removed by local authority at least once a week,12922,28.6,KwaZulu-Natal,King Cetshwayo,uMlalazi,DsRefuseDisposals
Census 2022,Municipality,uMlalazi,Removed by local authority less often,134,0.3,KwaZulu-Natal,King Cetshwayo,uMlalazi,DsRefuseDisposals
Census 2022,Municipality,uMlalazi,Communal refuse dump,560,1.2,KwaZulu-Natal,King Cetshwayo,uMlalazi,DsRefuseDisposals
Census 2022,Municipality,uMlalazi,Communal container/central collection point,523,1.2,KwaZulu-Natal,King Cetshwayo,uMlalazi,DsRefuseDisposals
Census 2022,Municipality,uMlalazi,Own refuse dump,27299,60.5,KwaZulu-Natal,King Cetshwayo,uMlalazi,DsRefuseDisposals
Census 2022,Municipality,uMlalazi,No Rubbish Disposal,2936,6.5,KwaZulu-Natal,King Cetshwayo,uMlalazi,DsRefuseDisposals
Census 2022,Municipality,uMlalazi,Other,744,1.7,KwaZulu-Natal,King Cetshwayo,uMlalazi,DsRefuseDisposals
Census 2022,Municipality,Ray Nkonyeni,Removed by local authority at least once a week,34858,39.8,KwaZulu-Natal,Ugu,Ray Nkonyeni,DsRefuseDisposals
Census 2022,Municipality,Ray Nkonyeni,Removed by local authority less often,690,0.8,KwaZulu-Natal,Ugu,Ray Nkonyeni,DsRefuseDisposals
Census 2022,Municipality,Ray Nkonyeni,Communal refuse dump,860,1.0,KwaZulu-Natal,Ugu,Ray Nkonyeni,DsRefuseDisposals
Census 2022,Municipality,Ray Nkonyeni,Communal container/central collection point,661,0.8,KwaZulu-Natal,Ugu,Ray Nkonyeni,DsRefuseDisposals
Census 2022,Municipality,Ray Nkonyeni,Own refuse dump,47460,54.2,KwaZulu-Natal,Ugu,Ray Nkonyeni,DsRefuseDisposals
Census 2022,Municipality,Ray Nkonyeni,No Rubbish Disposal,2419,2.8,KwaZulu-Natal,Ugu,Ray Nkonyeni,DsRefuseDisposals
Census 2022,Municipality,Ray Nkonyeni,Other,683,0.8,KwaZulu-Natal,Ugu,Ray Nkonyeni,DsRefuseDisposals
Census 2022,Municipality,Umdoni,Removed by local authority at least once a week,12460,37.7,KwaZulu-Natal,Ugu,Umdoni,DsRefuseDisposals
Census 2022,Municipality,Umdoni,Removed by local authority less often,267,0.8,KwaZulu-Natal,Ugu,Umdoni,DsRefuseDisposals
Census 2022,Municipality,Umdoni,Communal refuse dump,391,1.2,KwaZulu-Natal,Ugu,Umdoni,DsRefuseDisposals
Census 2022,Municipality,Umdoni,Communal container/central collection point,1696,5.1,KwaZulu-Natal,Ugu,Umdoni,DsRefuseDisposals
Census 2022,Municipality,Umdoni,Own refuse dump,15637,47.3,KwaZulu-Natal,Ugu,Umdoni,DsRefuseDisposals
Census 2022,Municipality,Umdoni,No Rubbish Disposal,2347,7.1,KwaZulu-Natal,Ugu,Umdoni,DsRefuseDisposals
