timeSeriesDesc,geoLevelDesc,geoLevelValueDesc,label,counts,countsPercentage,countsMales,countsPercentageMales,countsFemales,countsPercentageFemales,Province,District,Municipality,ReportType
Census 2022,Municipality,Great Kei,Some Primary,2858,12.2,,,,,Eastern Cape,Amathole,Great Kei,DsHighestLevelEducations
Census 2022,Municipality,Great Kei,Completed Primary,1316,5.6,,,,,Eastern Cape,Amathole,Great Kei,DsHighestLevelEducations
Census 2022,Municipality,Great Kei,Some Secondary,8723,37.2,,,,,Eastern Cape,Amathole,Great Kei,DsHighestLevelEducations
Census 2022,Municipality,Great Kei,Grade 12/Std10,5909,25.2,,,,,Eastern Cape,Amathole,Great Kei,DsHighestLevelEducations
Census 2022,Municipality,Great Kei,Higher Education,2005,8.6,,,,,Eastern Cape,Amathole,Great Kei,DsHighestLevelEducations
Census 2022,Municipality,Great Kei,Other,138,0.6,,,,,Eastern Cape,Amathole,Great Kei,DsHighestLevelEducations
Census 2022,Municipality,Mbhashe,No Schooling,20273,16.0,,,,,Eastern Cape,Amathole,Mbhashe,DsHighestLevelEducations
Census 2022,Municipality,Mbhashe,Some Primary,23024,18.2,,,,,Eastern Cape,Amathole,Mbhashe,DsHighestLevelEducations
Census 2022,Municipality,Mbhashe,Completed Primary,8117,6.4,,,,,Eastern Cape,Amathole,Mbhashe,DsHighestLevelEducations
Census 2022,Municipality,Mbhashe,Some Secondary,46924,37.0,,,,,Eastern Cape,Amathole,Mbhashe,DsHighestLevelEducations
Census 2022,Municipality,Mbhashe,Grade 12/Std10,20882,16.5,,,,,Eastern Cape,Amathole,Mbhashe,DsHighestLevelEducations
Census 2022,Municipality,Mbhashe,Higher Education,7103,5.6,,,,,Eastern Cape,Amathole,Mbhashe,DsHighestLevelEducations
Census 2022,Municipality,Mbhashe,Other,510,0.4,,,,,Eastern Cape,Amathole,Mbhashe,DsHighestLevelEducations
Census 2022,Municipality,Mnquma,No Schooling,10092,7.6,,,,,Eastern Cape,Amathole,Mnquma,DsHighestLevelEducations
Census 2022,Municipality,Mnquma,Some Primary,21494,16.2,,,,,Eastern Cape,Amathole,Mnquma,DsHighestLevelEducations
Census 2022,Municipality,Mnquma,Completed Primary,9281,7.0,,,,,Eastern Cape,Amathole,Mnquma,DsHighestLevelEducations
Census 2022,Municipality,Mnquma,Some Secondary,52409,39.5,,,,,Eastern Cape,Amathole,Mnquma,DsHighestLevelEducations
Census 2022,Municipality,Mnquma,Grade 12/Std10,27278,20.6,,,,,Eastern Cape,Amathole,Mnquma,DsHighestLevelEducations
Census 2022,Municipality,Mnquma,Higher Education,11451,8.6,,,,,Eastern Cape,Amathole,Mnquma,DsHighestLevelEducations
Census 2022,Municipality,Mnquma,Other,598,0.5,,,,,Eastern Cape,Amathole,Mnquma,DsHighestLevelEducations
Census 2022,Municipality,Ngqushwa,No Schooling,3631,8.4,,,,,Eastern Cape,Amathole,Ngqushwa,DsHighestLevelEducations
Census 2022,Municipality,Ngqushwa,Some Primary,7117,16.5,,,,,Eastern Cape,Amathole,Ngqushwa,DsHighestLevelEducations
Census 2022,Municipality,Ngqushwa,Completed Primary,3194,7.4,,,,,Eastern Cape,Amathole,Ngqushwa,DsHighestLevelEducations
Census 2022,Municipality,Ngqushwa,Some Secondary,16854,39.2,,,,,Eastern Cape,Amathole,Ngqushwa,DsHighestLevelEducations
Census 2022,Municipality,Ngqushwa,Grade 12/Std10,9796,22.8,,,,,Eastern Cape,Amathole,Ngqushwa,DsHighestLevelEducations
Census 2022,Municipality,Ngqushwa,Higher Education,2237,5.2,,,,,Eastern Cape,Amathole,Ngqushwa,DsHighestLevelEducations
Census 2022,Municipality,Ngqushwa,Other,183,0.4,,,,,Eastern Cape,Amathole,Ngqushwa,DsHighestLevelEducations
Census 2022,Municipality,Raymond Mhlaba,No Schooling,4994,4.6,,,,,Eastern Cape,Amathole,Raymond Mhlaba,DsHighestLevelEducations
Census 2022,Municipality,Raymond Mhlaba,Some Primary,14752,13.6,,,,,Eastern Cape,Amathole,Raymond Mhlaba,DsHighestLevelEducations
Census 2022,Municipality,Raymond Mhlaba,Completed Primary,7315,6.7,,,,,Eastern Cape,Amathole,Raymond Mhlaba,DsHighestLevelEducations
Census 2022,Municipality,Raymond Mhlaba,Some Secondary,43961,40.5,,,,,Eastern Cape,Amathole,Raymond Mhlaba,DsHighestLevelEducations
Census 2022,Municipality,Raymond Mhlaba,Grade 12/Std10,27734,25.6,,,,,Eastern Cape,Amathole,Raymond Mhlaba,DsHighestLevelEducations
Census 2022,Municipality,Raymond Mhlaba,Higher Education,9429,8.7,,,,,Eastern Cape,Amathole,Raymond Mhlaba,DsHighestLevelEducations
Census 2022,Municipality,Raymond Mhlaba,Other,344,0.3,,,,,Eastern Cape,Amathole,Raymond Mhlaba,DsHighestLevelEducations
Census 2022,Municipality,Buffalo City,No Schooling,24741,4.1,,,,,Eastern Cape,Buffalo City,Buffalo City,DsHighestLevelEducations
Census 2022,Municipality,Buffalo City,Some Primary,43422,7.1,,,,,Eastern Cape,Buffalo City,Buffalo City,DsHighestLevelEducations
Census 2022,Municipality,Buffalo City,Completed Primary,23190,3.8,,,,,Eastern Cape,Buffalo City,Buffalo City,DsHighestLevelEducations
Census 2022,Municipality,Buffalo City,Some Secondary,217234,35.6,,,,,Eastern Cape,Buffalo City,Buffalo City,DsHighestLevelEducations
Census 2022,Municipality,Buffalo City,Grade 12/Std10,205446,33.6,,,,,Eastern Cape,Buffalo City,Buffalo City,DsHighestLevelEducations
Census 2022,Municipality,Buffalo City,Higher Education,91888,15.0,,,,,Eastern Cape,Buffalo City,Buffalo City,DsHighestLevelEducations
Census 2022,Municipality,Buffalo City,Other,4831,0.8,,,,,Eastern Cape,Buffalo City,Buffalo City,DsHighestLevelEducations
Census 2022,Municipality,Emalahleni,No Schooling,8776,12.0,,,,,Eastern Cape,Chris Hani,Emalahleni,DsHighestLevelEducations
Census 2022,Municipality,Emalahleni,Some Primary,17271,23.7,,,,,Eastern Cape,Chris Hani,Emalahleni,DsHighestLevelEducations
Census 2022,Municipality,Emalahleni,Completed Primary,4956,6.8,,,,,Eastern Cape,Chris Hani,Emalahleni,DsHighestLevelEducations
Census 2022,Municipality,Emalahleni,Some Secondary,25568,35.0,,,,,Eastern Cape,Chris Hani,Emalahleni,DsHighestLevelEducations
Census 2022,Municipality,Emalahleni,Grade 12/Std10,12994,17.8,,,,,Eastern Cape,Chris Hani,Emalahleni,DsHighestLevelEducations
Census 2022,Municipality,Emalahleni,Higher Education,3097,4.2,,,,,Eastern Cape,Chris Hani,Emalahleni,DsHighestLevelEducations
Census 2022,Municipality,Emalahleni,Other,290,0.4,,,,,Eastern Cape,Chris Hani,Emalahleni,DsHighestLevelEducations
Census 2022,Municipality,Engcobo,No Schooling,9086,13.2,,,,,Eastern Cape,Chris Hani,Engcobo,DsHighestLevelEducations
Census 2022,Municipality,Engcobo,Some Primary,13483,19.5,,,,,Eastern Cape,Chris Hani,Engcobo,DsHighestLevelEducations
Census 2022,Municipality,Engcobo,Completed Primary,4628,6.7,,,,,Eastern Cape,Chris Hani,Engcobo,DsHighestLevelEducations
Census 2022,Municipality,Engcobo,Some Secondary,26027,37.7,,,,,Eastern Cape,Chris Hani,Engcobo,DsHighestLevelEducations
Census 2022,Municipality,Engcobo,Grade 12/Std10,11938,17.3,,,,,Eastern Cape,Chris Hani,Engcobo,DsHighestLevelEducations
Census 2022,Municipality,Engcobo,Higher Education,3528,5.1,,,,,Eastern Cape,Chris Hani,Engcobo,DsHighestLevelEducations
Census 2022,Municipality,Engcobo,Other,284,0.4,,,,,Eastern Cape,Chris Hani,Engcobo,DsHighestLevelEducations
Census 2022,Municipality,Enoch Mgijima,No Schooling,11900,6.7,,,,,Eastern Cape,Chris Hani,Enoch Mgijima,DsHighestLevelEducations
Census 2022,Municipality,Enoch Mgijima,Some Primary,20761,11.8,,,,,Eastern Cape,Chris Hani,Enoch Mgijima,DsHighestLevelEducations
Census 2022,Municipality,Enoch Mgijima,Completed Primary,9070,5.1,,,,,Eastern Cape,Chris Hani,Enoch Mgijima,DsHighestLevelEducations
Census 2022,Municipality,Enoch Mgijima,Some Secondary,62666,35.5,,,,,Eastern Cape,Chris Hani,Enoch Mgijima,DsHighestLevelEducations
Census 2022,Municipality,Enoch Mgijima,Grade 12/Std10,51772,29.4,,,,,Eastern Cape,Chris Hani,Enoch Mgijima,DsHighestLevelEducations
Census 2022,Municipality,Enoch Mgijima,Higher Education,19099,10.8,,,,,Eastern Cape,Chris Hani,Enoch Mgijima,DsHighestLevelEducations
Census 2022,Municipality,Enoch Mgijima,Other,1078,0.6,,,,,Eastern Cape,Chris Hani,Enoch Mgijima,DsHighestLevelEducations
Census 2022,Municipality,Intsika Yethu,No Schooling,7472,10.4,,,,,Eastern Cape,Chris Hani,Intsika Yethu,DsHighestLevelEducations
Census 2022,Municipality,Intsika Yethu,Some Primary,15392,21.4,,,,,Eastern Cape,Chris Hani,Intsika Yethu,DsHighestLevelEducations
Census 2022,Municipality,Intsika Yethu,Completed Primary,5388,7.5,,,,,Eastern Cape,Chris Hani,Intsika Yethu,DsHighestLevelEducations
Census 2022,Municipality,Intsika Yethu,Some Secondary,28216,39.2,,,,,Eastern Cape,Chris Hani,Intsika Yethu,DsHighestLevelEducations
Census 2022,Municipality,Intsika Yethu,Grade 12/Std10,11627,16.1,,,,,Eastern Cape,Chris Hani,Intsika Yethu,DsHighestLevelEducations
Census 2022,Municipality,Intsika Yethu,Higher Education,3683,5.1,,,,,Eastern Cape,Chris Hani,Intsika Yethu,DsHighestLevelEducations
Census 2022,Municipality,Intsika Yethu,Other,245,0.3,,,,,Eastern Cape,Chris Hani,Intsika Yethu,DsHighestLevelEducations
Census 2022,Municipality,Inxuba Yethemba,No Schooling,3234,6.9,,,,,Eastern Cape,Chris Hani,Inxuba Yethemba,DsHighestLevelEducations
Census 2022,Municipality,Inxuba Yethemba,Some Primary,5980,12.7,,,,,Eastern Cape,Chris Hani,Inxuba Yethemba,DsHighestLevelEducations
Census 2022,Municipality,Inxuba Yethemba,Completed Primary,3032,6.4,,,,,Eastern Cape,Chris Hani,Inxuba Yethemba,DsHighestLevelEducations
Census 2022,Municipality,Inxuba Yethemba,Some Secondary,17398,36.9,,,,,Eastern Cape,Chris Hani,Inxuba Yethemba,DsHighestLevelEducations
Census 2022,Municipality,Inxuba Yethemba,Grade 12/Std10,13645,28.9,,,,,Eastern Cape,Chris Hani,Inxuba Yethemba,DsHighestLevelEducations
Census 2022,Municipality,Inxuba Yethemba,Higher Education,3602,7.6,,,,,Eastern Cape,Chris Hani,Inxuba Yethemba,DsHighestLevelEducations
Census 2022,Municipality,Inxuba Yethemba,Other,263,0.6,,,,,Eastern Cape,Chris Hani,Inxuba Yethemba,DsHighestLevelEducations
Census 2022,Municipality,Sakhisizwe,No Schooling,2801,7.8,,,,,Eastern Cape,Chris Hani,Sakhisizwe,DsHighestLevelEducations
Census 2022,Municipality,Sakhisizwe,Some Primary,5916,16.5,,,,,Eastern Cape,Chris Hani,Sakhisizwe,DsHighestLevelEducations
