timeSeriesDesc,geoLevelDesc,geoLevelValueDesc,label,countsPercentage,Province,District,Municipality,ReportType
Census 2022,Municipality,Mbhashe,None,1.2,Eastern Cape,Amathole,Mbhashe,DsMainToiletFacilitys
Census 2022,Municipality,Mnquma,Flush toilet,34.1,Eastern Cape,Amathole,Mnquma,DsMainToiletFacilitys
Census 2022,Municipality,Mnquma,Chemical toilet,6.0,Eastern Cape,Amathole,Mnquma,DsMainToiletFacilitys
Census 2022,Municipality,Mnquma,Pit toilet,55.2,Eastern Cape,Amathole,Mnquma,DsMainToiletFacilitys
Census 2022,Municipality,Mnquma,Bucket toilet,0.3,Eastern Cape,Amathole,Mnquma,DsMainToiletFacilitys
Census 2022,Municipality,Mnquma,Other,3.5,Eastern Cape,Amathole,Mnquma,DsMainToiletFacilitys
Census 2022,Municipality,Mnquma,None,0.9,Eastern Cape,Amathole,Mnquma,DsMainToiletFacilitys
Census 2022,Municipality,Ngqushwa,Flush toilet,28.6,Eastern Cape,Amathole,Ngqushwa,DsMainToiletFacilitys
Census 2022,Municipality,Ngqushwa,Chemical toilet,5.5,Eastern Cape,Amathole,Ngqushwa,DsMainToiletFacilitys
Census 2022,Municipality,Ngqushwa,Pit toilet,61.2,Eastern Cape,Amathole,Ngqushwa,DsMainToiletFacilitys
Census 2022,Municipality,Ngqushwa,Bucket toilet,0.2,Eastern Cape,Amathole,Ngqushwa,DsMainToiletFacilitys
Census 2022,Municipality,Ngqushwa,Other,3.0,Eastern Cape,Amathole,Ngqushwa,DsMainToiletFacilitys
Census 2022,Municipality,Ngqushwa,None,1.3,Eastern Cape,Amathole,Ngqushwa,DsMainToiletFacilitys
Census 2022,Municipality,Raymond Mhlaba,Flush toilet,60.1,Eastern Cape,Amathole,Raymond Mhlaba,DsMainToiletFacilitys
Census 2022,Municipality,Raymond Mhlaba,Chemical toilet,2.9,Eastern Cape,Amathole,Raymond Mhlaba,DsMainToiletFacilitys
