timeSeriesDesc,geoLevelDesc,geoLevelValueDesc,label,counts,countsPercentage,countsMales,countsPercentageMales,countsFemales,countsPercentageFemales,Province,District,Municipality,ReportType
Census 2022,Municipality,Nelson Mandela Bay,FEMALE,627285,52.7,,,,,Eastern Cape,Nelson Mandela Bay,Nelson Mandela Bay,DsSexes
Census 2022,Municipality,King Sabata Dalindyebo,MALE,223728,46.9,,,,,Eastern Cape,O.R. Tambo,King Sabata Dalindyebo,DsSexes
Census 2022,Municipality,King Sabata Dalindyebo,FEMALE,252830,53.1,,,,,Eastern Cape,O.R. Tambo,King Sabata Dalindyebo,DsSexes
Census 2022,Municipality,Mhlontlo,MALE,88564,47.5,,,,,Eastern Cape,O.R. Tambo,Mhlontlo,DsSexes
Census 2022,Municipality,Mhlontlo,FEMALE,97827,52.5,,,,,Eastern Cape,O.R. Tambo,Mhlontlo,DsSexes
Census 2022,Municipality,Ngquza Hill,MALE,167830,47.3,,,,,Eastern Cape,O.R. Tambo,Ngquza Hill,DsSexes
Census 2022,Municipality,Ngquza Hill,FEMALE,186743,52.7,,,,,Eastern Cape,O.R. Tambo,Ngquza Hill,DsSexes
Census 2022,Municipality,Nyandeni,MALE,143295,47.0,,,,,Eastern Cape,O.R. Tambo,Nyandeni,DsSexes
Census 2022,Municipality,Nyandeni,FEMALE,161561,53.0,,,,,Eastern Cape,O.R. Tambo,Nyandeni,DsSexes
Census 2022,Municipality,Port St Johns,MALE,84382,47.1,,,,,Eastern Cape,O.R. Tambo,Port St Johns,DsSexes
Census 2022,Municipality,Port St Johns,FEMALE,94943,52.9,,,,,Eastern Cape,O.R. Tambo,Port St Johns,DsSexes
Census 2022,Municipality,Blue Crane Route,MALE,24191,48.5,,,,,Eastern Cape,Sarah Baartman,Blue Crane Route,DsSexes
Census 2022,Municipality,Blue Crane Route,FEMALE,25691,51.5,,,,,Eastern Cape,Sarah Baartman,Blue Crane Route,DsSexes
Census 2022,Municipality,Dr Beyers Naude,MALE,47720,47.2,,,,,Eastern Cape,Sarah Baartman,Dr Beyers Naude,DsSexes
Census 2022,Municipality,Dr Beyers Naude,FEMALE,53281,52.8,,,,,Eastern Cape,Sarah Baartman,Dr Beyers Naude,DsSexes
Census 2022,Municipality,Kou-Kamma,MALE,17703,48.5,,,,,Eastern Cape,Sarah Baartman,Kou-Kamma,DsSexes
Census 2022,Municipality,Kou-Kamma,FEMALE,18784,51.5,,,,,Eastern Cape,Sarah Baartman,Kou-Kamma,DsSexes
Census 2022,Municipality,Kouga,MALE,50690,47.4,,,,,Eastern Cape,Sarah Baartman,Kouga,DsSexes
Census 2022,Municipality,Kouga,FEMALE,56325,52.6,,,,,Eastern Cape,Sarah Baartman,Kouga,DsSexes
Census 2022,Municipality,Makana,MALE,45885,46.9,,,,,Eastern Cape,Sarah Baartman,Makana,DsSexes
Census 2022,Municipality,Makana,FEMALE,51930,53.1,,,,,Eastern Cape,Sarah Baartman,Makana,DsSexes
Census 2022,Municipality,Ndlambe,MALE,41327,47.1,,,,,Eastern Cape,Sarah Baartman,Ndlambe,DsSexes
Census 2022,Municipality,Ndlambe,FEMALE,46470,52.9,,,,,Eastern Cape,Sarah Baartman,Ndlambe,DsSexes
Census 2022,Municipality,Sundays River Valley,MALE,26157,49.1,,,,,Eastern Cape,Sarah Baartman,Sundays River Valley,DsSexes
Census 2022,Municipality,Sundays River Valley,FEMALE,27099,50.9,,,,,Eastern Cape,Sarah Baartman,Sundays River Valley,DsSexes
Census 2022,Municipality,Mafube,MALE,28707,46.9,,,,,Free State,Fezile Dabi,Mafube,DsSexes
Census 2022,Municipality,Mafube,FEMALE,32443,53.1,,,,,Free State,Fezile Dabi,Mafube,DsSexes
Census 2022,Municipality,Metsimaholo,MALE,77992,49.2,,,,,Free State,Fezile Dabi,Metsimaholo,DsSexes
Census 2022,Municipality,Metsimaholo,FEMALE,80399,50.8,,,,,Free State,Fezile Dabi,Metsimaholo,DsSexes
Census 2022,Municipality,Moqhaka,MALE,74579,48.0,,,,,Free State,Fezile Dabi,Moqhaka,DsSexes
Census 2022,Municipality,Moqhaka,FEMALE,80831,52.0,,,,,Free State,Fezile Dabi,Moqhaka,DsSexes
Census 2022,Municipality,Ngwathe,MALE,63460,47.0,,,,,Free State,Fezile Dabi,Ngwathe,DsSexes
Census 2022,Municipality,Ngwathe,FEMALE,71502,53.0,,,,,Free State,Fezile Dabi,Ngwathe,DsSexes
Census 2022,Municipality,Masilonyana,MALE,30652,48.0,,,,,Free State,Lejweleputswa,Masilonyana,DsSexes
Census 2022,Municipality,Masilonyana,FEMALE,33148,52.0,,,,,Free State,Lejweleputswa,Masilonyana,DsSexes
Census 2022,Municipality,Matjhabeng,MALE,210469,47.9,,,,,Free State,Lejweleputswa,Matjhabeng,DsSexes
Census 2022,Municipality,Matjhabeng,FEMALE,228565,52.1,,,,,Free State,Lejweleputswa,Matjhabeng,DsSexes
Census 2022,Municipality,Nala,MALE,43429,48.0,,,,,Free State,Lejweleputswa,Nala,DsSexes
Census 2022,Municipality,Nala,FEMALE,47132,52.0,,,,,Free State,Lejweleputswa,Nala,DsSexes
Census 2022,Municipality,Tokologo,MALE,14199,48.2,,,,,Free State,Lejweleputswa,Tokologo,DsSexes
Census 2022,Municipality,Tokologo,FEMALE,15256,51.8,,,,,Free State,Lejweleputswa,Tokologo,DsSexes
Census 2022,Municipality,Tswelopele,MALE,27428,48.2,,,,,Free State,Lejweleputswa,Tswelopele,DsSexes
Census 2022,Municipality,Tswelopele,FEMALE,29468,51.8,,,,,Free State,Lejweleputswa,Tswelopele,DsSexes
Census 2022,Municipality,Mangaung,MALE,385812,47.5,,,,,Free State,Mangaung,Mangaung,DsSexes
